category,rank,name,country,points,movement,profile
Women's Singles,75,Peng Yu Wei,Chinese Taipei,24060,,https://m.aiscore.com/badminton/player-peng-yu-wei/dq09gcmx4zlu4qx
Women's Singles,76,Tidapron Kleebyeesun,Thailand,23706,,https://m.aiscore.com/badminton/player-tidapron-kleebyeesun/63kv9jc19mrap7e
Women's Singles,77,Mansi Singh,India,23410,,https://m.aiscore.com/badminton/player-mansi-singh/jek33vcr8pecdko
Women's Singles,78,Ozge Bayrak,Turkey,23340,,https://m.aiscore.com/badminton/player-ozge-bayrak/63kv9jcggl8up7e
Women's Singles,79,Ines Lucia Castillo Salazar,Peru,22670,,https://m.aiscore.com/badminton/player-ines-lucia-castillo-salazar/63kv9jcgvmgcp7e
Women's Singles,80,Yevheniia Kantemyr,Ukraine,22543,,https://m.aiscore.com/badminton/player-yevheniia-kantemyr/g6763zc5r91fp7r
Women's Singles,81,Stefani Stoeva,Bulgaria,22466,,https://m.aiscore.com/badminton/player-stefani-stoeva/j374oxc00ozirqo
Women's Singles,82,Tereza Svabikova,Czech,22125,,https://m.aiscore.com/badminton/player-tereza-svabikova/vmqy98cv6o8h4k9
Women's Singles,83,Kisona Selvaduray,Malaysia,21930,,https://m.aiscore.com/badminton/player-kisona-selvaduray/ndkz69c3xw0feq3
Women's Singles,84,Keisha Fatimah AZ Zahra,Azerbaijan,21675,,https://m.aiscore.com/badminton/player-keisha-fatimah-az-zahra/63kv9jcn4vdhp7e
Women's Singles,85,Shreya Lele,India,21580,,https://m.aiscore.com/badminton/player-shreya-lele/mqy98cj0r4rt4k9
Women's Singles,86,Siti Zulaikha,Malaysia,21370,,https://m.aiscore.com/badminton/player-siti-zulaikha/wv78x6crw5zbnkr
Women's Singles,87,Lee So Yul,South Korea,21171,,https://m.aiscore.com/badminton/player-lee-so-yul/rkn68cml110unql
Women's Singles,88,Yataweemin Ketklieng,Thailand,21170,,https://m.aiscore.com/badminton/player-yataweemin-ketklieng/v78x6cp2on2unkr
Women's Singles,89,Clara Azurmendi,Spain,21114,,https://m.aiscore.com/badminton/player-clara-azurmendi/527r3dc4j56s87e
Women's Singles,90,Liang Ting Yu,Chinese Taipei,21000,,https://m.aiscore.com/badminton/player-liang-ting-yu/34kgm3cog0ru8ko
