category,rank,name,country,points,movement,profile
Women's Doubles,132,Diana Corleto Soto/Nikte Alejandra Sotomayor,,11329,,
Women's Doubles,133,Sania Lima/Juliana Viana Vieira,,11322,,
Women's Doubles,134,Keng Shuliang/Li Huazhou,,11250,,
Women's Doubles,135,Gan Min Yee/Tan Zhing Hui,,11210,,
Women's Doubles,136,Rui Kiyama/Sona Yonemoto,,11120,,
Women's Doubles,137,Hsieh Chih Ying/Lee Yu-hsuan,,11090,,
Women's Doubles,138,Gayatri Rawat/Mansa Rawat,,11020,,
Women's Doubles,139,Ornnicha Jongsathapornparn/Sabrina Sophita Wedler,,10930,,
Women's Doubles,140,Nardhana Ravishankar/Riduvarshini Ramasamy,,10920,,
Women's Doubles,141,Iona Gualdi/Ailen Oliva,,10810,,
Women's Doubles,142,Hsin Tung Chen/Yu-hsi Chen,,10740,,
Women's Doubles,143,Sarah Dlapka/Lena Rumpold,,10710,,
Women's Doubles,144,Chen Fanshutian/Liu Jiayue,,10630,,
Women's Doubles,145,Chan Po-Hsuan/Liao Pin-Chen,,10120,,
Women's Doubles,146,Hsieh Chih Ying/Huang Tzu-Ling,,10020,,
Women's Doubles,147,Dominican Republic,,9980,,
Women's Doubles,148,Orla Flynn/Siofra Flynn,,9770,,
Women's Doubles,149,Mizuki Otake/Miyu Takahashi,,9720,,
Women's Doubles,150,Yasmina Chibah/Linda Mazri,,9517,,
Women's Doubles,151,Romina Fregoso/Miriam Jacqueline Rodriguez Perez,,9475,,
Women's Doubles,152,Anja Blazina/Ariana Korent,,9475,,
Women's Doubles,153,Sian Kelly/Lizzie Tolman,,9220,,
Women's Doubles,154,Hrissha Dubey/Ridhi Kaur Toor,,9130,,
Women's Doubles,155,Fernanda Munar Solimano/Rafaela Munar Solimano,,9129,,
Women's Doubles,156,Sugiyama M / Takasaki N,,9000,,
Women's Doubles,157,Liu Jiayue/Wang Yiduo,,8909,,
Women's Doubles,158,Arathi Sara Sunil/Varshini Viswanath Sri,,8790,,
Women's Doubles,158,Sakshi Gahlawat/Taneesha Singh,,8790,,
Women's Doubles,160,Moe Aoki/Misaki Kurashima,,8760,,
Women's Doubles,161,Ishu Malik/Tanu Malik,,8710,,
Women's Doubles,162,Chen Su Yu/Lee Yu-hsuan,,8690,,
Women's Doubles,163,Nicole Chau/Nicole Tan,,8610,,
Women's Doubles,164,Zenith Abbigail/Likhita Srivastava,,8590,,
Women's Doubles,165,Moe AOKI/Hina OSAWA,,8400,,
Women's Doubles,166,Shreya Balaji/Deepta Sathish,,8270,,
Women's Doubles,167,Ko Ruo Hsuan/Lee Yu-hsuan,,8180,,
Women's Doubles,168,Bao L J / Li Y J,,8170,,
Women's Doubles,169,Velisha Christina/Agnia Sri Rahayu,,8160,,
Women's Doubles,170,Aminath Nabeeha Abdul Razzaq/Fathimath Nabaaha Abdul Razzaq,,8100,,
Women's Doubles,171,Aleena Qathun/Sreeyuktha Sreejith Parol,,8080,,
Women's Doubles,172,Hung H Y / Wong Y L Y,,8070,,
Women's Doubles,173,Juliana Giraldo/Karen Patiño,,8060,,
Women's Doubles,174,Maria Koriagina/Yaroslava Vantsarovska,,7990,,
Women's Doubles,175,Anja Jordan/Kim Matovic,,7976,,
Women's Doubles,176,Baek Ha Na/Kim Hye-jeong,,7836,,
Women's Doubles,177,Takata A / Yairo M,,7800,,
Women's Doubles,178,Arisa Igarashi/Miyu Takahashi,,7800,,
Women's Doubles,179,Ng Weng Chi/Pui Chi Wa,,7790,,
Women's Doubles,180,Bao L J / Li H Z,,7700,,
Women's Doubles,181,Amrutha Pramuthesh/Nayana S Oasis Sunil Oasis,,7630,,
Women's Doubles,182,Jung Kyung Eun/Kim So Yeong,,7600,,
Women's Doubles,183,Fadilah Shamika Mohamed Rafi/Tracy Naluwooza,,7460,,
Women's Doubles,184,Catlyn Kruus/Ramona Uprus,,7444,,
Women's Doubles,185,Tay Andrea Jacqui/Teo Eng Ker,,7350,,
Women's Doubles,186,Kateřina Osladilova/Tallulah Sharleen van Coppenolle,,7341,,
Women's Doubles,187,Cheng Yu-Pei/Sun Yu Hsing,,7310,,
Women's Doubles,188,Eliana Zhang/Wen Yu Zhang,,7301,,
Women's Doubles,189,Yun Jung Chang/Tsai Ruo Lin,,7200,,
Women's Doubles,190,Jin Yujia/Heng Xiao En,,7176,,
Women's Doubles,191,Camellia Zhou/Jenny Zhu,,7142,,
Women's Doubles,192,Eyota Kwan/Johnna Rymes,,7090,,
Women's Doubles,193,Lam C W / Sim J M,,7000,,
Women's Doubles,194,Kie Nakanishi/Chiharu Shida,,6981,,
Women's Doubles,195,Debora Jille/Isabel Lohau,,6940,,
Women's Doubles,196,Harima T / Imai Y,,6890,,
Women's Doubles,197,Yuna Kato/Hina Osawa,,6800,,
Women's Doubles,198,Catherine Choi/Crystal Lai,,6762,,
Women's Doubles,199,Lin Jia Yin/Lin Yu-Pei,,6750,,
Women's Doubles,200,Miki Kanehiro/Rui Kiyama,,6750,,
Women's Doubles,201,Agathe Cuevas/Kathell Desmots-Chacun,,6740,,
