category,rank,name,country,points,movement,profile
Men's Doubles,58,Low Hang Yee/Ng Eng Cheong,,26680,,
Men's Doubles,59,Kedren Kittinupong/Dechapol Puavaranukroh,,26130,,
Men's Doubles,60,Japan,,25990,,
Men's Doubles,61,Lin Chia Yen/Yong Sheng Lin,,25970,,
Men's Doubles,62,Zeng Weihan/Xie Haonan,,25960,,
Men's Doubles,63,Kenya Mitsuhashi/Hiroki Okamura,,25650,,
Men's Doubles,64,Dev Ayyappan/Dhiren Ayyappan,,25530,,
Men's Doubles,65,Muhammad Faiq Haziq/Lok Hong Quan,,25480,,
Men's Doubles,66,Alexander Dunn/Adam Pringle,,25400,,
Men's Doubles,67,Malik Bourakkadi/Kenneth Neumann,,25330,,
Men's Doubles,68,Mael Cattoen/Lucas Renoir,,24950,,
Men's Doubles,69,Hiroki Okamura/Kyohei Yamashita,,24920,,
Men's Doubles,70,Jin Yong/Na Sung-seung,,24540,,
Men's Doubles,71,He Jiting/Ren Xiangyu,,24012,,
Men's Doubles,72,Fabricio Farias/Davi Silva,,23331,,
Men's Doubles,73,Chen Cheng Kuan/Lin Bing-Wei,,23320,,
Men's Doubles,74,Anselmus Breagit Fredy Prasetya/Pulung Ramadhan,,22960,,
Men's Doubles,75,Jonathan Dresp/Simon Krax,,22186,,
Men's Doubles,76,Wei Chun Wei/Yang Po Chih,,22180,,
Men's Doubles,77,Bhargav Ram Arigela/Viswa Tej Gobburu,,22120,,
Men's Doubles,78,Suraj Goala/Dhruv Rawat,,21660,,
Men's Doubles,79,Su Ching-heng/Wu Guan Xun,,21060,,
Men's Doubles,80,Leo Rolly Carnando/Daniel Marthin,,20770,,
Men's Doubles,81,Muh Putra Erwiansyah/Daniel Edgar Marvino,,20650,,
Men's Doubles,82,Masayuki Onodera/Daigo Tanioka,,20600,,
Men's Doubles,83,Lau Yi Sheng/Tze Jian Lim,,20580,,
Men's Doubles,84,Chinese Taipei,,20420,,
